{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-94.99028778076172
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.50003719329834
start time: 2023-11-04T15:26:30.000000000
end time: 2023-11-04T17:25:30.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,27.1380,34.9670
1.2000,26.9946,34.9650
2.2000,26.8974,34.9665
3.2000,26.4376,35.0288
4.2000,25.1167,35.0961
5.2000,23.8235,35.1832
6.2000,22.0885,35.2835
7.2000,20.4729,35.3398
8.2000,19.2462,35.3379
9.2000,18.2604,35.2998
10.2000,17.6388,35.2569
11.2000,17.2074,35.2163
12.2000,16.9214,35.1778
13.2000,16.6215,35.1418
14.2000,16.4192,35.1319
15.2000,16.1659,35.1108
16.2000,16.0443,35.0930
17.2000,15.9522,35.0878
18.2000,15.7995,35.0712
19.2000,15.7951,35.0655
20.2000,15.7339,35.0675
21.2000,15.6725,35.0625
22.2000,15.6180,35.0611
23.2000,15.5670,35.0505
24.2000,15.4839,35.0393
25.2000,15.3694,35.0322
26.2000,15.3600,35.0232
27.2000,15.3095,35.0152
28.2000,15.1895,35.0057
29.2000,15.1059,34.9897
30.2000,14.9728,34.9762
31.2000,14.7862,34.9696
32.2000,14.6230,34.9537
33.2000,14.2806,34.9369
34.2000,13.9152,34.9103
35.2000,13.5796,34.8924
36.2000,13.2646,34.8684
37.2000,12.8802,34.8475
38.2000,12.5001,34.8276
39.2000,12.2749,34.8165
40.2000,12.0937,34.8100
41.2000,11.8671,34.7939
42.2000,11.6238,34.7829
43.2000,11.4058,34.7708
44.2000,11.1460,34.7608
45.2000,10.9593,34.7567
46.2000,10.7435,34.7472
47.2000,10.5498,34.7376
48.2000,10.3556,34.7210
49.2000,10.2269,34.7114
50.2000,10.0962,34.7014
51.2000,9.8077,34.6914
52.2000,9.5875,34.6842
53.2000,9.4076,34.6829
54.2000,9.1274,34.6712
55.2000,9.0410,34.6674
56.2000,9.0694,34.6638
57.2000,9.0415,34.6603
58.2000,8.9691,34.6581
59.2000,8.9733,34.6566
60.2000,8.8929,34.6598
61.2000,8.8026,34.6547
62.2000,8.7994,34.6498
