{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.97103118896484
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4971556663513184
start time: 2023-11-15T23:35:50.000000000
end time: 2023-11-16T02:16:10.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,29.5329,35.2453
1.2000,29.3693,35.2411
2.2000,29.2717,35.2409
3.2000,29.2615,35.2364
4.2000,29.3187,35.2356
5.2000,29.3959,35.2375
6.2000,29.3553,35.2357
7.2000,29.5116,35.3356
8.2000,28.9837,35.4166
9.2000,27.4028,35.3832
10.2000,25.0616,35.4230
11.2000,22.5205,35.4208
12.2000,19.6266,35.2742
13.2000,17.0662,35.1476
14.2000,16.8494,35.1258
15.2000,16.6568,35.1093
16.2000,16.3507,35.0878
17.2000,16.1356,35.0651
18.2000,15.8648,35.0363
19.2000,15.8149,35.0248
20.2000,15.8038,35.0291
21.2000,15.7575,35.0338
22.2000,15.6889,35.0368
23.2000,15.7248,35.0499
24.2000,15.6852,35.0584
25.2000,15.6807,35.0681
26.2000,15.6698,35.0783
27.2000,15.5021,35.0628
28.2000,15.1477,35.0206
29.2000,14.8143,34.9800
30.2000,14.5523,34.9434
31.2000,14.3235,34.8961
32.2000,14.0726,34.8622
33.2000,13.7150,34.8431
34.2000,13.3361,34.8209
35.2000,12.9614,34.7993
36.2000,12.6614,34.7808
37.2000,12.3493,34.7589
38.2000,11.9808,34.7462
39.2000,11.8234,34.7503
40.2000,11.6731,34.7607
41.2000,11.5545,34.7615
42.2000,11.4328,34.7703
43.2000,11.2639,34.7792
44.2000,11.1715,34.7856
45.2000,11.0991,34.7905
46.2000,10.9316,34.7777
47.2000,10.7625,34.7647
48.2000,10.5994,34.7513
49.2000,10.4721,34.7378
50.2000,10.3141,34.7288
51.2000,10.1523,34.7161
52.2000,9.9737,34.7096
53.2000,9.7707,34.6952
54.2000,9.7154,34.6787
55.2000,9.6354,34.6796
56.2000,9.6004,34.6754
57.2000,9.5633,34.6706
58.2000,9.4910,34.6713
59.2000,9.4277,34.6672
60.2000,9.3958,34.6612
61.2000,9.3055,34.6539
62.2000,9.2480,34.6514
63.2000,9.1692,34.6491
64.2000,9.1502,34.6449
65.2000,8.9909,34.6451
66.2000,8.8976,34.6378
67.2000,8.7768,34.6314
68.2000,8.7202,34.6284
69.2000,8.6118,34.6243
70.2000,8.5926,34.6210
71.2000,8.5040,34.6155
72.2000,8.4665,34.6145
73.2000,8.3349,34.6148
74.2000,8.3051,34.6067
75.2000,8.1755,34.5978
76.2000,8.0525,34.5908
77.2000,8.0044,34.5910
78.2000,7.8808,34.5977
79.2000,7.7888,34.5984
80.2000,7.7069,34.6031
81.2000,7.6969,34.6055
82.2000,7.6464,34.6059
83.2000,7.6111,34.6091
84.2000,7.4780,34.6086
85.2000,7.3861,34.6131
86.2000,7.3497,34.6145
87.2000,7.2760,34.6176
88.2000,7.2391,34.6184
89.2000,7.1855,34.6173
90.2000,7.0972,34.6181
91.2000,7.1050,34.6191
92.2000,7.1049,34.6174
93.2000,7.0139,34.6172
94.2000,6.9524,34.6185
95.2000,6.9185,34.6218
96.2000,6.8326,34.6187
97.2000,6.8148,34.6154
98.2000,6.7454,34.6187
99.2000,6.6765,34.6203
100.2000,6.6331,34.6202
101.2000,6.6314,34.6217
102.2000,6.5373,34.6177
103.2000,6.4864,34.6179
104.2000,6.3895,34.6205
105.2000,6.2802,34.6247
106.2000,6.2597,34.6241
107.2000,6.2626,34.6265
108.2000,6.1490,34.6273
109.2000,6.1011,34.6297
110.2000,6.0012,34.6305
111.2000,5.9499,34.6313
112.2000,5.9292,34.6308
113.2000,5.9542,34.6350
114.2000,5.9732,34.6354
115.2000,5.9083,34.6347
116.2000,5.8431,34.6338
117.2000,5.7753,34.6329
118.2000,5.6690,34.6331
119.2000,5.6388,34.6320
120.2000,5.5509,34.6354
121.2000,5.5624,34.6362
122.2000,5.5463,34.6353
123.2000,5.5183,34.6342
124.2000,5.4703,34.6325
125.2000,5.4671,34.6330
126.2000,5.4822,34.6382
127.2000,5.4060,34.6388
128.2000,5.3293,34.6341
129.2000,5.2849,34.6294
130.2000,5.2452,34.6292
131.2000,5.1812,34.6306
132.2000,5.1659,34.6371
133.2000,5.1597,34.6376
134.2000,5.0894,34.6421
135.2000,5.0888,34.6420
136.2000,5.0035,34.6469
137.2000,4.9024,34.6422
138.2000,4.8503,34.6470
139.2000,4.7834,34.6498
140.2000,4.6849,34.6542
141.2000,4.6824,34.6566
142.2000,4.6307,34.6591
143.2000,4.6024,34.6632
144.2000,4.5923,34.6647
145.2000,4.5703,34.6671
146.2000,4.5887,34.6675
147.2000,4.5912,34.6706
148.2000,4.5726,34.6767
149.2000,4.5014,34.6798
150.2000,4.4733,34.6766
151.2000,4.4451,34.6797
152.2000,4.4504,34.6831
153.2000,4.4704,34.6866
154.2000,4.4358,34.6884
155.2000,4.3629,34.6863
156.2000,4.3749,34.6865
157.2000,4.3691,34.6860
158.2000,4.3614,34.6832
159.2000,4.3421,34.6860
160.2000,4.2968,34.6859
161.2000,4.2377,34.6920
162.2000,4.2098,34.6934
163.2000,4.2240,34.6974
164.2000,4.2214,34.6988
165.2000,4.1993,34.6992
166.2000,4.2305,34.6970
167.2000,4.2189,34.6994
168.2000,4.1943,34.7001
169.2000,4.1264,34.7024
170.2000,4.0605,34.7040
171.2000,4.0354,34.7040
172.2000,4.0431,34.7037
173.2000,3.9776,34.7012
174.2000,3.9399,34.7049
175.2000,3.9347,34.7038
176.2000,3.9391,34.7059
177.2000,3.9005,34.7097
178.2000,3.8819,34.7132
179.2000,3.9202,34.7130
180.2000,3.8937,34.7118
181.2000,3.8708,34.7152
182.2000,3.8686,34.7175
183.2000,3.8067,34.7189
184.2000,3.7951,34.7171
185.2000,3.7846,34.7166
186.2000,3.7651,34.7157
187.2000,3.7934,34.7159
188.2000,3.7729,34.7148
189.2000,3.7322,34.7189
190.2000,3.7161,34.7200
191.2000,3.6473,34.7195
192.2000,3.6537,34.7178
193.2000,3.6500,34.7169
194.2000,3.6282,34.7170
195.2000,3.5999,34.7161
196.2000,3.5856,34.7142
197.2000,3.6047,34.7174
198.2000,3.6079,34.7149
199.2000,3.5757,34.7172
200.2000,3.5201,34.7176
201.2000,3.5143,34.7169
202.2000,3.5054,34.7142
203.2000,3.5283,34.7153
204.2000,3.5376,34.7142
205.2000,3.5351,34.7147
206.2000,3.5650,34.7145
207.2000,3.5510,34.7115
208.2000,3.5487,34.7126
209.2000,3.5596,34.7118
210.2000,3.5195,34.7129
211.2000,3.4842,34.7102
212.2000,3.4692,34.7111
213.2000,3.4896,34.7102
214.2000,3.4677,34.7120
215.2000,3.4460,34.7086
216.2000,3.4299,34.7125
217.2000,3.4320,34.7113
218.2000,3.4463,34.7128
219.2000,3.4388,34.7159
220.2000,3.4494,34.7145
221.2000,3.4578,34.7147
222.2000,3.4687,34.7154
223.2000,3.4452,34.7146
224.2000,3.4178,34.7126
225.2000,3.4114,34.7123
226.2000,3.4405,34.7120
227.2000,3.4212,34.7137
228.2000,3.4406,34.7145
229.2000,3.4429,34.7121
230.2000,3.4737,34.7126
231.2000,3.4834,34.7147
232.2000,3.4737,34.7141
233.2000,3.4816,34.7146
234.2000,3.4825,34.7143
235.2000,3.4453,34.7169
236.2000,3.4716,34.7174
237.2000,3.4713,34.7158
238.2000,3.5044,34.7157
239.2000,3.5197,34.7187
240.2000,3.4966,34.7163
241.2000,3.4421,34.7158
242.2000,3.4301,34.7146
243.2000,3.3945,34.7145
244.2000,3.3757,34.7159
245.2000,3.3402,34.7127
246.2000,3.3001,34.7134
247.2000,3.2801,34.7146
248.2000,3.2865,34.7170
249.2000,3.2618,34.7159
250.2000,3.2629,34.7168
251.2000,3.2419,34.7176
252.2000,3.2273,34.7190
253.2000,3.2306,34.7205
254.2000,3.2038,34.7211
255.2000,3.1834,34.7218
256.2000,3.1707,34.7215
257.2000,3.1375,34.7220
258.2000,3.1252,34.7210
259.2000,3.1108,34.7205
260.2000,3.0866,34.7205
261.2000,3.0398,34.7209
262.2000,2.9914,34.7219
263.2000,2.9683,34.7205
264.2000,2.9770,34.7225
265.2000,2.9647,34.7229
266.2000,2.9466,34.7236
267.2000,2.9343,34.7243
268.2000,2.9229,34.7250
269.2000,2.8950,34.7256
270.2000,2.8711,34.7260
271.2000,2.8725,34.7246
272.2000,2.8503,34.7227
273.2000,2.8452,34.7227
274.2000,2.8343,34.7226
275.2000,2.7913,34.7212
276.2000,2.7638,34.7194
277.2000,2.7487,34.7198
278.2000,2.7183,34.7188
279.2000,2.7036,34.7162
280.2000,2.7118,34.7194
281.2000,2.7136,34.7192
282.2000,2.7302,34.7181
283.2000,2.7142,34.7174
284.2000,2.6874,34.7169
285.2000,2.6520,34.7171
286.2000,2.6381,34.7152
287.2000,2.6374,34.7150
288.2000,2.6236,34.7132
289.2000,2.6404,34.7136
290.2000,2.6073,34.7146
291.2000,2.6039,34.7125
292.2000,2.5736,34.7133
293.2000,2.5726,34.7135
294.2000,2.5825,34.7130
295.2000,2.5972,34.7129
296.2000,2.5763,34.7114
297.2000,2.5544,34.7104
298.2000,2.5185,34.7120
299.2000,2.5065,34.7111
300.2000,2.4626,34.7115
301.2000,2.4457,34.7090
302.2000,2.4326,34.7093
303.2000,2.4243,34.7103
304.2000,2.4034,34.7084
305.2000,2.4033,34.7074
306.2000,2.4118,34.7081
307.2000,2.3928,34.7070
308.2000,2.3602,34.7066
309.2000,2.3737,34.7076
310.2000,2.3705,34.7084
311.2000,2.3452,34.7080
312.2000,2.3443,34.7080
313.2000,2.3380,34.7080
314.2000,2.3122,34.7066
315.2000,2.2950,34.7071
316.2000,2.2728,34.7068
317.2000,2.2757,34.7074
318.2000,2.2645,34.7082
319.2000,2.2627,34.7081
320.2000,2.2714,34.7087
321.2000,2.2563,34.7100
322.2000,2.2260,34.7095
323.2000,2.2245,34.7093
324.2000,2.2293,34.7103
325.2000,2.2145,34.7107
326.2000,2.1872,34.7104
327.2000,2.1731,34.7103
328.2000,2.1609,34.7109
329.2000,2.1503,34.7117
330.2000,2.1111,34.7124
331.2000,2.1088,34.7134
332.2000,2.0988,34.7129
333.2000,2.0921,34.7129
334.2000,2.0679,34.7112
335.2000,2.0562,34.7110
336.2000,2.0466,34.7109
337.2000,2.0330,34.7111
338.2000,2.0255,34.7128
339.2000,2.0353,34.7128
340.2000,2.0409,34.7109
341.2000,2.0326,34.7102
342.2000,2.0234,34.7090
343.2000,1.9923,34.7083
344.2000,1.9918,34.7085
345.2000,1.9797,34.7068
346.2000,1.9723,34.7051
347.2000,1.9464,34.7069
348.2000,1.9607,34.7056
349.2000,1.9418,34.7059
350.2000,1.9177,34.7074
351.2000,1.8987,34.7071
352.2000,1.8850,34.7066
353.2000,1.8547,34.7049
354.2000,1.8419,34.7041
355.2000,1.8399,34.7027
356.2000,1.8414,34.7020
357.2000,1.8294,34.7013
358.2000,1.8247,34.7025
359.2000,1.8294,34.7032
360.2000,1.8129,34.7048
361.2000,1.8200,34.7056
362.2000,1.8114,34.7038
363.2000,1.8230,34.7033
364.2000,1.8070,34.7036
365.2000,1.7934,34.7039
366.2000,1.7890,34.7035
367.2000,1.7745,34.7034
368.2000,1.7559,34.7034
369.2000,1.7414,34.7043
370.2000,1.7358,34.7049
371.2000,1.7239,34.7045
372.2000,1.7170,34.7051
373.2000,1.7052,34.7051
374.2000,1.7127,34.7047
375.2000,1.7131,34.7051
376.2000,1.6971,34.7062
377.2000,1.6839,34.7065
378.2000,1.6817,34.7059
379.2000,1.6656,34.7062
380.2000,1.6592,34.7066
381.2000,1.6544,34.7062
382.2000,1.6403,34.7058
383.2000,1.6178,34.7062
384.2000,1.6161,34.7055
385.2000,1.5936,34.7053
386.2000,1.5831,34.7064
387.2000,1.5672,34.7060
388.2000,1.5514,34.7061
389.2000,1.5457,34.7069
390.2000,1.5292,34.7072
391.2000,1.5238,34.7078
392.2000,1.5127,34.7082
393.2000,1.5179,34.7086
394.2000,1.5146,34.7088
395.2000,1.5042,34.7079
396.2000,1.4887,34.7088
397.2000,1.4777,34.7082
398.2000,1.4724,34.7077
399.2000,1.4574,34.7079
400.2000,1.4409,34.7073
401.2000,1.4461,34.7077
402.2000,1.4310,34.7080
403.2000,1.4306,34.7087
404.2000,1.4294,34.7092
405.2000,1.4112,34.7087
406.2000,1.4088,34.7085
407.2000,1.4055,34.7082
408.2000,1.4009,34.7081
409.2000,1.3865,34.7078
410.2000,1.3896,34.7071
411.2000,1.3769,34.7074
412.2000,1.3692,34.7070
413.2000,1.3651,34.7066
414.2000,1.3487,34.7065
415.2000,1.3335,34.7065
416.2000,1.3326,34.7063
417.2000,1.3221,34.7055
418.2000,1.3113,34.7053
419.2000,1.3109,34.7055
420.2000,1.2991,34.7051
421.2000,1.3007,34.7057
422.2000,1.2873,34.7054
423.2000,1.2880,34.7050
424.2000,1.2867,34.7048
425.2000,1.2768,34.7046
426.2000,1.2766,34.7044
427.2000,1.2713,34.7037
428.2000,1.2713,34.7036
429.2000,1.2726,34.7035
430.2000,1.2745,34.7033
431.2000,1.2669,34.7030
432.2000,1.2603,34.7026
433.2000,1.2569,34.7022
434.2000,1.2553,34.7025
435.2000,1.2493,34.7025
436.2000,1.2473,34.7027
437.2000,1.2403,34.7026
438.2000,1.2393,34.7024
439.2000,1.2337,34.7023
440.2000,1.2336,34.7021
441.2000,1.2268,34.7025
442.2000,1.2197,34.7023
443.2000,1.2206,34.7018
444.2000,1.2102,34.7011
445.2000,1.2089,34.7009
446.2000,1.2087,34.7010
447.2000,1.2056,34.7010
448.2000,1.2042,34.7007
449.2000,1.1977,34.7004
450.2000,1.1945,34.6999
451.2000,1.1887,34.6998
452.2000,1.1780,34.6995
453.2000,1.1760,34.6995
454.2000,1.1714,34.6995
455.2000,1.1604,34.6995
456.2000,1.1504,34.6993
457.2000,1.1427,34.6992
458.2000,1.1355,34.6988
459.2000,1.1285,34.6988
460.2000,1.1245,34.6987
461.2000,1.1236,34.6985
462.2000,1.1203,34.6985
463.2000,1.1205,34.6984
464.2000,1.1176,34.6983
465.2000,1.1110,34.6981
466.2000,1.1107,34.6980
467.2000,1.1085,34.6980
468.2000,1.1053,34.6980
469.2000,1.1026,34.6976
470.2000,1.1023,34.6972
471.2000,1.0975,34.6970
472.2000,1.0931,34.6967
473.2000,1.0926,34.6965
474.2000,1.0908,34.6963
475.2000,1.0918,34.6961
476.2000,1.0902,34.6959
477.2000,1.0886,34.6958
478.2000,1.0859,34.6957
479.2000,1.0864,34.6956
480.2000,1.0850,34.6954
481.2000,1.0848,34.6955
482.2000,1.0841,34.6953
481.2000,1.0829,34.6953
480.2000,1.0836,34.6953
479.2000,1.0867,34.6954
478.2000,1.0891,34.6955
477.2000,1.0918,34.6955
476.2000,1.0907,34.6957
475.2000,1.0893,34.6958
474.2000,1.0900,34.6961
473.2000,1.0892,34.6962
472.2000,1.0922,34.6962
471.2000,1.0971,34.6965
470.2000,1.0988,34.6967
469.2000,1.1028,34.6970
468.2000,1.1068,34.6973
467.2000,1.1104,34.6976
466.2000,1.1103,34.6976
465.2000,1.1181,34.6979
464.2000,1.1239,34.6982
463.2000,1.1307,34.6983
462.2000,1.1380,34.6984
461.2000,1.1452,34.6985
460.2000,1.1461,34.6986
459.2000,1.1536,34.6985
458.2000,1.1580,34.6990
457.2000,1.1594,34.6990
456.2000,1.1675,34.6993
455.2000,1.1691,34.6995
454.2000,1.1786,34.6999
453.2000,1.1790,34.7001
452.2000,1.1839,34.7001
451.2000,1.1936,34.7004
450.2000,1.1945,34.7005
449.2000,1.2016,34.7007
448.2000,1.2124,34.7012
447.2000,1.2135,34.7014
446.2000,1.2137,34.7020
445.2000,1.2235,34.7022
444.2000,1.2332,34.7027
443.2000,1.2442,34.7026
442.2000,1.2542,34.7026
441.2000,1.2597,34.7031
440.2000,1.2596,34.7035
439.2000,1.2693,34.7037
438.2000,1.2736,34.7041
437.2000,1.2757,34.7043
436.2000,1.2842,34.7042
435.2000,1.2933,34.7048
434.2000,1.2963,34.7045
433.2000,1.3019,34.7052
432.2000,1.3035,34.7058
431.2000,1.3036,34.7056
430.2000,1.3140,34.7058
429.2000,1.3104,34.7059
428.2000,1.3229,34.7056
427.2000,1.3262,34.7052
426.2000,1.3320,34.7058
425.2000,1.3337,34.7063
424.2000,1.3448,34.7066
423.2000,1.3476,34.7069
422.2000,1.3520,34.7062
421.2000,1.3642,34.7058
420.2000,1.3693,34.7060
419.2000,1.3820,34.7057
418.2000,1.3817,34.7068
417.2000,1.3835,34.7072
416.2000,1.3914,34.7075
415.2000,1.4018,34.7082
414.2000,1.4090,34.7079
413.2000,1.4099,34.7083
412.2000,1.4284,34.7084
411.2000,1.4383,34.7085
410.2000,1.4372,34.7092
