{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.99034118652344
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.499052047729492
start time: 2023-11-15T18:04:50.000000000
end time: 2023-11-15T20:45:10.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,29.4766,35.2783
1.2000,29.5427,35.2808
2.2000,29.4669,35.2871
3.2000,29.4528,35.2865
4.2000,29.4886,35.2792
5.2000,29.4403,35.2775
6.2000,29.4303,35.2814
7.2000,29.5466,35.3854
8.2000,28.8790,35.4687
9.2000,27.0264,35.4288
10.2000,24.7241,35.4590
11.2000,22.2454,35.4490
12.2000,19.4269,35.3012
13.2000,16.9890,35.1697
14.2000,16.8039,35.1432
15.2000,16.5941,35.1219
16.2000,16.3691,35.1005
17.2000,16.1281,35.0768
18.2000,15.9277,35.0568
19.2000,15.8190,35.0508
20.2000,15.8088,35.0512
21.2000,15.7764,35.0540
22.2000,15.7281,35.0540
23.2000,15.7433,35.0707
24.2000,15.7204,35.0806
25.2000,15.6320,35.0870
26.2000,15.5845,35.0924
27.2000,15.3619,35.0656
28.2000,15.0425,35.0274
29.2000,14.7706,34.9850
30.2000,14.4690,34.9436
31.2000,14.2169,34.9041
32.2000,13.9536,34.8707
33.2000,13.6377,34.8499
34.2000,13.2886,34.8210
35.2000,12.9849,34.7992
36.2000,12.5758,34.7744
37.2000,12.2372,34.7559
38.2000,11.9707,34.7390
39.2000,11.8562,34.7389
40.2000,11.7429,34.7443
41.2000,11.5981,34.7452
42.2000,11.4699,34.7421
43.2000,11.3162,34.7460
44.2000,11.1807,34.7477
45.2000,11.1112,34.7457
46.2000,10.9712,34.7421
47.2000,10.7514,34.7297
48.2000,10.6571,34.7226
49.2000,10.5094,34.7169
50.2000,10.3990,34.7074
51.2000,10.2840,34.7007
52.2000,10.1731,34.6921
53.2000,10.0056,34.6849
54.2000,9.8111,34.6777
55.2000,9.7303,34.6763
56.2000,9.6734,34.6712
57.2000,9.5855,34.6710
58.2000,9.4491,34.6717
59.2000,9.4044,34.6663
60.2000,9.3665,34.6686
61.2000,9.2379,34.6622
62.2000,9.1306,34.6597
63.2000,9.0805,34.6552
64.2000,8.9998,34.6567
65.2000,8.9671,34.6521
66.2000,8.8975,34.6520
67.2000,8.7990,34.6508
68.2000,8.6981,34.6502
69.2000,8.6571,34.6507
70.2000,8.5164,34.6431
71.2000,8.4003,34.6408
72.2000,8.2945,34.6335
73.2000,8.2260,34.6248
74.2000,8.1963,34.6205
75.2000,8.1460,34.6189
76.2000,8.1116,34.6135
77.2000,8.0173,34.6129
78.2000,7.8974,34.6098
79.2000,7.8287,34.6115
80.2000,7.7387,34.6109
81.2000,7.6809,34.6113
82.2000,7.6370,34.6131
83.2000,7.5385,34.6174
84.2000,7.4675,34.6139
85.2000,7.3712,34.6158
86.2000,7.2960,34.6202
87.2000,7.1617,34.6280
88.2000,7.0534,34.6277
89.2000,6.9483,34.6301
90.2000,6.8833,34.6326
91.2000,6.7841,34.6332
92.2000,6.6822,34.6300
93.2000,6.5996,34.6268
94.2000,6.5158,34.6289
95.2000,6.5289,34.6283
96.2000,6.4797,34.6331
97.2000,6.4132,34.6368
98.2000,6.3741,34.6395
99.2000,6.3115,34.6386
100.2000,6.2677,34.6410
101.2000,6.2508,34.6410
102.2000,6.2626,34.6444
103.2000,6.2553,34.6452
104.2000,6.2289,34.6472
105.2000,6.2023,34.6452
106.2000,6.1903,34.6476
107.2000,6.1889,34.6428
108.2000,6.1387,34.6492
109.2000,6.1434,34.6490
110.2000,6.1362,34.6508
111.2000,6.0405,34.6468
112.2000,6.0439,34.6438
113.2000,5.9589,34.6451
114.2000,5.8888,34.6464
115.2000,5.8211,34.6443
116.2000,5.7893,34.6480
117.2000,5.7613,34.6498
118.2000,5.7820,34.6495
119.2000,5.7559,34.6470
120.2000,5.7040,34.6489
121.2000,5.6729,34.6471
122.2000,5.6012,34.6483
123.2000,5.5651,34.6508
124.2000,5.4793,34.6517
125.2000,5.4597,34.6551
126.2000,5.4123,34.6519
127.2000,5.3753,34.6547
128.2000,5.3336,34.6573
129.2000,5.2717,34.6608
130.2000,5.2416,34.6573
131.2000,5.2272,34.6625
132.2000,5.1929,34.6602
133.2000,5.1442,34.6652
134.2000,5.0707,34.6624
135.2000,5.0344,34.6674
136.2000,4.9821,34.6690
137.2000,4.9471,34.6660
138.2000,4.9142,34.6628
139.2000,4.9088,34.6631
140.2000,4.8796,34.6661
141.2000,4.8250,34.6650
142.2000,4.8374,34.6664
143.2000,4.7804,34.6676
144.2000,4.7314,34.6663
145.2000,4.6853,34.6665
146.2000,4.6268,34.6683
147.2000,4.5914,34.6685
148.2000,4.5198,34.6699
149.2000,4.4866,34.6707
150.2000,4.4092,34.6762
151.2000,4.3643,34.6762
152.2000,4.2978,34.6767
153.2000,4.2639,34.6790
154.2000,4.2494,34.6853
155.2000,4.2007,34.6835
156.2000,4.1985,34.6849
157.2000,4.1775,34.6824
158.2000,4.1565,34.6853
159.2000,4.1988,34.6817
160.2000,4.1639,34.6869
161.2000,4.1746,34.6909
162.2000,4.1933,34.6943
163.2000,4.1686,34.6940
164.2000,4.1945,34.6945
165.2000,4.1173,34.7009
166.2000,4.0722,34.7034
167.2000,4.0191,34.7087
168.2000,4.0264,34.7106
169.2000,4.0301,34.7131
170.2000,4.0049,34.7109
171.2000,3.9388,34.7102
172.2000,3.9719,34.7093
173.2000,3.9919,34.7091
174.2000,4.0204,34.7094
175.2000,4.0145,34.7112
176.2000,4.0008,34.7094
177.2000,3.9949,34.7096
178.2000,3.9895,34.7055
179.2000,3.9715,34.7062
180.2000,3.9922,34.7090
181.2000,3.9610,34.7097
182.2000,3.9507,34.7088
183.2000,3.9515,34.7111
184.2000,3.9637,34.7073
185.2000,3.9600,34.7077
186.2000,3.8945,34.7075
187.2000,3.8652,34.7096
188.2000,3.8821,34.7071
189.2000,3.8823,34.7076
190.2000,3.8334,34.7054
191.2000,3.8149,34.7040
192.2000,3.7812,34.7011
193.2000,3.7728,34.7000
194.2000,3.7799,34.7029
195.2000,3.7865,34.7009
196.2000,3.8150,34.7030
197.2000,3.8020,34.7013
198.2000,3.8061,34.6996
199.2000,3.8082,34.6988
200.2000,3.8126,34.7005
201.2000,3.7784,34.6986
202.2000,3.7644,34.7033
203.2000,3.7751,34.7029
204.2000,3.7569,34.7020
205.2000,3.7498,34.7015
206.2000,3.7264,34.7005
207.2000,3.6659,34.6994
208.2000,3.6270,34.7008
209.2000,3.6022,34.7022
210.2000,3.5910,34.7049
211.2000,3.5955,34.7045
212.2000,3.5799,34.7080
213.2000,3.6050,34.7043
214.2000,3.5785,34.7043
215.2000,3.5471,34.7033
216.2000,3.4906,34.7062
217.2000,3.4701,34.7067
218.2000,3.4471,34.7060
219.2000,3.4782,34.7058
220.2000,3.4308,34.7042
221.2000,3.3961,34.7034
222.2000,3.3637,34.7059
223.2000,3.3122,34.7055
224.2000,3.2936,34.7076
225.2000,3.2714,34.7088
226.2000,3.2494,34.7051
227.2000,3.2769,34.7068
228.2000,3.2650,34.7056
229.2000,3.2513,34.7093
230.2000,3.2531,34.7100
231.2000,3.2517,34.7129
232.2000,3.2265,34.7125
233.2000,3.2228,34.7088
234.2000,3.2623,34.7061
235.2000,3.2757,34.7094
236.2000,3.2540,34.7069
237.2000,3.2601,34.7101
238.2000,3.2450,34.7116
239.2000,3.2114,34.7140
240.2000,3.2486,34.7151
241.2000,3.2456,34.7168
242.2000,3.2293,34.7162
243.2000,3.2201,34.7167
