{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
201.2000,3.4683,34.7158
202.2000,3.4780,34.7155
203.2000,3.4597,34.7128
204.2000,3.4433,34.7121
205.2000,3.4300,34.7109
206.2000,3.4407,34.7085
207.2000,3.4210,34.7080
208.2000,3.4058,34.7085
209.2000,3.3867,34.7065
210.2000,3.3799,34.7084
211.2000,3.3762,34.7086
212.2000,3.3799,34.7085
213.2000,3.3812,34.7083
214.2000,3.3424,34.7066
215.2000,3.3251,34.7070
216.2000,3.2969,34.7067
217.2000,3.2788,34.7106
218.2000,3.2605,34.7105
219.2000,3.2707,34.7139
220.2000,3.2796,34.7139
221.2000,3.2735,34.7163
222.2000,3.2760,34.7182
223.2000,3.2904,34.7152
224.2000,3.2489,34.7115
225.2000,3.2373,34.7122
226.2000,3.2390,34.7146
227.2000,3.1963,34.7167
228.2000,3.2139,34.7207
229.2000,3.2341,34.7198
230.2000,3.2159,34.7203
231.2000,3.2339,34.7193
232.2000,3.2281,34.7199
233.2000,3.2184,34.7205
234.2000,3.2042,34.7199
235.2000,3.1739,34.7188
236.2000,3.1374,34.7185
237.2000,3.1667,34.7208
238.2000,3.1425,34.7222
239.2000,3.1062,34.7184
240.2000,3.0843,34.7176
241.2000,3.0468,34.7161
242.2000,3.0567,34.7192
243.2000,3.0359,34.7187
244.2000,3.0562,34.7206
245.2000,3.0393,34.7195
246.2000,3.0590,34.7183
247.2000,3.0167,34.7185
248.2000,3.0035,34.7190
249.2000,2.9626,34.7200
250.2000,2.9659,34.7170
251.2000,2.9461,34.7181
252.2000,2.9277,34.7166
253.2000,2.9343,34.7165
254.2000,2.9179,34.7156
255.2000,2.8920,34.7160
256.2000,2.8850,34.7144
257.2000,2.8499,34.7137
258.2000,2.8615,34.7145
259.2000,2.8775,34.7124
260.2000,2.8740,34.7123
261.2000,2.8707,34.7105
262.2000,2.8589,34.7081
263.2000,2.8529,34.7086
264.2000,2.8536,34.7086
265.2000,2.8435,34.7077
266.2000,2.8374,34.7054
267.2000,2.7936,34.7052
268.2000,2.7700,34.7055
269.2000,2.7608,34.7052
270.2000,2.7174,34.7064
271.2000,2.7183,34.7076
272.2000,2.7127,34.7084
273.2000,2.7043,34.7074
274.2000,2.6856,34.7098
275.2000,2.7096,34.7082
276.2000,2.6640,34.7068
277.2000,2.6673,34.7068
278.2000,2.6567,34.7082
279.2000,2.6495,34.7086
280.2000,2.6460,34.7080
281.2000,2.6435,34.7081
282.2000,2.6378,34.7077
283.2000,2.6518,34.7080
284.2000,2.6269,34.7062
285.2000,2.5889,34.7060
286.2000,2.5789,34.7073
287.2000,2.5563,34.7072
288.2000,2.5495,34.7071
289.2000,2.5518,34.7064
290.2000,2.5581,34.7067
291.2000,2.5209,34.7073
292.2000,2.5105,34.7066
293.2000,2.4920,34.7063
294.2000,2.4681,34.7053
295.2000,2.4572,34.7056
296.2000,2.4530,34.7051
297.2000,2.4603,34.7051
298.2000,2.4217,34.7029
299.2000,2.4230,34.7032
300.2000,2.4158,34.7052
301.2000,2.3931,34.7076
302.2000,2.3976,34.7060
303.2000,2.3873,34.7032
304.2000,2.3784,34.7026
305.2000,2.3864,34.7026
306.2000,2.3545,34.7042
307.2000,2.3253,34.7036
308.2000,2.3106,34.7051
309.2000,2.2966,34.7066
310.2000,2.3043,34.7072
311.2000,2.3031,34.7080
312.2000,2.3102,34.7080
313.2000,2.2661,34.7098
314.2000,2.2462,34.7108
315.2000,2.2599,34.7087
316.2000,2.2404,34.7075
317.2000,2.2512,34.7081
318.2000,2.2535,34.7090
319.2000,2.2443,34.7078
320.2000,2.2251,34.7077
321.2000,2.2217,34.7084
322.2000,2.2027,34.7084
323.2000,2.1791,34.7074
324.2000,2.1760,34.7050
325.2000,2.1537,34.7026
326.2000,2.1458,34.7029
327.2000,2.1364,34.7037
328.2000,2.1473,34.7046
329.2000,2.1272,34.7066
330.2000,2.1143,34.7063
331.2000,2.0976,34.7083
332.2000,2.1144,34.7073
333.2000,2.1158,34.7078
334.2000,2.0939,34.7066
335.2000,2.1060,34.7072
336.2000,2.0832,34.7052
337.2000,2.0839,34.7048
338.2000,2.0494,34.7050
339.2000,2.0523,34.7057
340.2000,2.0146,34.7063
341.2000,2.0142,34.7078
342.2000,1.9872,34.7074
343.2000,2.0028,34.7094
344.2000,1.9792,34.7110
345.2000,1.9673,34.7116
346.2000,1.9770,34.7123
347.2000,1.9421,34.7131
348.2000,1.9204,34.7135
349.2000,1.9047,34.7156
350.2000,1.8809,34.7162
351.2000,1.8745,34.7164
352.2000,1.8788,34.7156
353.2000,1.8728,34.7145
354.2000,1.8766,34.7140
355.2000,1.8655,34.7135
356.2000,1.8475,34.7128
357.2000,1.8541,34.7111
358.2000,1.8348,34.7120
359.2000,1.8367,34.7109
360.2000,1.8218,34.7115
361.2000,1.8338,34.7114
362.2000,1.8359,34.7100
363.2000,1.8220,34.7095
364.2000,1.8269,34.7102
365.2000,1.8195,34.7093
366.2000,1.8203,34.7088
367.2000,1.7909,34.7079
368.2000,1.8026,34.7064
369.2000,1.7813,34.7058
370.2000,1.7790,34.7063
371.2000,1.7789,34.7070
372.2000,1.7803,34.7081
373.2000,1.7745,34.7064
374.2000,1.7602,34.7068
375.2000,1.7410,34.7065
376.2000,1.7257,34.7080
377.2000,1.7238,34.7075
378.2000,1.7170,34.7073
379.2000,1.7031,34.7067
380.2000,1.6890,34.7080
381.2000,1.6876,34.7082
382.2000,1.6914,34.7082
383.2000,1.6671,34.7085
384.2000,1.6570,34.7096
385.2000,1.6459,34.7093
386.2000,1.6484,34.7105
387.2000,1.6294,34.7109
388.2000,1.6294,34.7094
389.2000,1.6160,34.7093
390.2000,1.6208,34.7100
391.2000,1.5979,34.7103
392.2000,1.6037,34.7115
393.2000,1.5875,34.7116
394.2000,1.5760,34.7117
395.2000,1.5699,34.7105
396.2000,1.5588,34.7104
397.2000,1.5605,34.7111
398.2000,1.5623,34.7115
399.2000,1.5676,34.7120
400.2000,1.5573,34.7112
401.2000,1.5486,34.7113
402.2000,1.5317,34.7107
403.2000,1.5329,34.7105
404.2000,1.5247,34.7103
405.2000,1.5088,34.7104
406.2000,1.5125,34.7099
407.2000,1.5031,34.7103
408.2000,1.4895,34.7098
409.2000,1.4822,34.7101
410.2000,1.4764,34.7098
411.2000,1.4675,34.7101
