{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.96138000488281
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4962074756622314
start time: 2023-11-16T02:21:20.000000000
end time: 2023-11-16T05:01:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,29.3188,35.2764
1.2000,29.2743,35.2782
2.2000,29.2170,35.2732
3.2000,29.2031,35.2732
4.2000,29.2298,35.2768
5.2000,29.2366,35.2768
6.2000,29.2651,35.2704
7.2000,29.4495,35.3697
8.2000,28.9235,35.4459
9.2000,27.3366,35.4089
10.2000,25.1026,35.4512
11.2000,22.6851,35.4552
12.2000,19.7691,35.3079
13.2000,17.1686,35.1781
14.2000,16.9231,35.1626
15.2000,16.7682,35.1494
16.2000,16.5089,35.1288
17.2000,16.2354,35.0993
18.2000,15.8959,35.0656
19.2000,15.7129,35.0501
20.2000,15.6927,35.0541
21.2000,15.6028,35.0564
22.2000,15.5692,35.0561
23.2000,15.5132,35.0611
24.2000,15.5046,35.0712
25.2000,15.5044,35.0769
26.2000,15.5383,35.0858
27.2000,15.3701,35.0611
28.2000,14.9947,35.0180
29.2000,14.6209,34.9735
30.2000,14.2901,34.9300
31.2000,13.9343,34.8818
32.2000,13.6169,34.8464
33.2000,13.3706,34.8260
34.2000,13.1472,34.8113
35.2000,12.8153,34.7961
36.2000,12.5089,34.7743
37.2000,12.1775,34.7527
38.2000,11.8831,34.7395
39.2000,11.7597,34.7426
40.2000,11.6139,34.7482
41.2000,11.5091,34.7524
42.2000,11.4600,34.7574
43.2000,11.3018,34.7624
44.2000,11.1838,34.7669
45.2000,11.0327,34.7693
46.2000,10.9371,34.7606
47.2000,10.8032,34.7530
48.2000,10.6416,34.7433
49.2000,10.4482,34.7332
50.2000,10.2999,34.7221
51.2000,10.1750,34.7082
52.2000,10.0300,34.6936
53.2000,9.9181,34.6808
54.2000,9.7387,34.6740
55.2000,9.6883,34.6723
56.2000,9.5787,34.6745
57.2000,9.5910,34.6698
58.2000,9.5396,34.6618
59.2000,9.4271,34.6569
60.2000,9.3622,34.6574
61.2000,9.2631,34.6579
62.2000,9.2385,34.6537
63.2000,9.1687,34.6516
64.2000,9.0929,34.6509
65.2000,8.9577,34.6464
66.2000,8.9216,34.6406
67.2000,8.8192,34.6402
68.2000,8.6667,34.6320
69.2000,8.5710,34.6278
70.2000,8.4768,34.6216
71.2000,8.3970,34.6172
72.2000,8.3487,34.6087
73.2000,8.3070,34.6060
74.2000,8.1558,34.6012
75.2000,8.0212,34.5948
76.2000,7.9140,34.5893
77.2000,7.8518,34.5966
78.2000,7.7175,34.5958
79.2000,7.6384,34.5984
80.2000,7.5392,34.5997
81.2000,7.4563,34.6056
82.2000,7.3604,34.6118
83.2000,7.3093,34.6107
84.2000,7.2254,34.6098
85.2000,7.2122,34.6095
86.2000,7.1183,34.6173
87.2000,7.0813,34.6212
88.2000,6.9830,34.6214
89.2000,6.9070,34.6245
90.2000,6.8165,34.6318
91.2000,6.7723,34.6261
92.2000,6.7616,34.6282
93.2000,6.7126,34.6301
94.2000,6.6760,34.6329
95.2000,6.6575,34.6313
96.2000,6.6536,34.6346
