{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-114.99028778076172
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.50003719329834
start time: 2023-11-11T23:08:10.000000000
end time: 2023-11-12T01:34:10.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,29.1055,35.1897
1.2000,29.1107,35.1907
2.2000,29.0400,35.1817
3.2000,29.0350,35.1828
4.2000,29.0982,35.1821
5.2000,29.0920,35.2125
6.2000,28.3873,35.3230
7.2000,26.7927,35.4235
8.2000,24.1275,35.4061
9.2000,20.6802,35.2635
10.2000,18.9676,35.1947
11.2000,17.6779,35.1375
12.2000,17.2028,35.1215
13.2000,16.7757,35.1045
14.2000,16.4417,35.0916
15.2000,16.0919,35.0763
16.2000,15.8518,35.0692
17.2000,15.7805,35.0575
18.2000,15.6757,35.0440
19.2000,15.5464,35.0260
20.2000,15.4965,35.0196
21.2000,15.4362,35.0109
22.2000,15.3827,34.9961
23.2000,15.3345,34.9926
24.2000,15.1728,34.9911
25.2000,14.9952,34.9889
26.2000,14.9187,34.9816
27.2000,14.6830,34.9669
28.2000,14.4787,34.9537
29.2000,14.2385,34.9406
30.2000,14.1601,34.9306
31.2000,14.0010,34.9188
32.2000,13.7748,34.9092
33.2000,13.4807,34.8966
34.2000,13.2508,34.8767
35.2000,13.0702,34.8643
36.2000,12.8676,34.8536
37.2000,12.5662,34.8327
38.2000,12.3224,34.8167
39.2000,12.0947,34.7997
40.2000,11.8144,34.7886
41.2000,11.6525,34.7685
42.2000,11.3906,34.7538
43.2000,11.0960,34.7430
44.2000,10.8502,34.7258
45.2000,10.6321,34.7048
46.2000,10.5441,34.7007
47.2000,10.4636,34.7028
48.2000,10.3588,34.6993
49.2000,10.3193,34.6955
50.2000,10.2386,34.6955
51.2000,10.2417,34.6925
52.2000,10.2307,34.6924
53.2000,10.1854,34.6856
54.2000,10.1039,34.6830
55.2000,9.9742,34.6821
56.2000,9.9324,34.6725
57.2000,9.8677,34.6679
58.2000,9.7496,34.6691
59.2000,9.6662,34.6696
60.2000,9.5625,34.6704
61.2000,9.3850,34.6644
62.2000,9.2725,34.6632
63.2000,9.1305,34.6577
64.2000,8.9783,34.6490
65.2000,8.8614,34.6489
66.2000,8.7466,34.6457
67.2000,8.6850,34.6386
68.2000,8.6555,34.6370
69.2000,8.5507,34.6414
70.2000,8.4778,34.6380
71.2000,8.3169,34.6333
72.2000,8.2385,34.6301
73.2000,8.0751,34.6255
74.2000,7.9177,34.6277
75.2000,7.9023,34.6228
76.2000,7.8600,34.6199
77.2000,7.7494,34.6185
78.2000,7.6647,34.6199
79.2000,7.5726,34.6164
80.2000,7.5564,34.6114
81.2000,7.5490,34.6099
82.2000,7.4740,34.6107
83.2000,7.3928,34.6137
84.2000,7.2860,34.6151
85.2000,7.3154,34.6158
86.2000,7.3062,34.6181
87.2000,7.2215,34.6173
88.2000,7.1542,34.6235
89.2000,7.0715,34.6236
90.2000,6.9724,34.6179
91.2000,6.9034,34.6219
92.2000,6.8428,34.6198
93.2000,6.7458,34.6223
94.2000,6.6522,34.6229
95.2000,6.5513,34.6237
96.2000,6.4928,34.6242
97.2000,6.4462,34.6250
98.2000,6.4354,34.6308
99.2000,6.3306,34.6253
100.2000,6.2712,34.6304
101.2000,6.2719,34.6303
102.2000,6.2283,34.6293
103.2000,6.1422,34.6312
104.2000,6.0958,34.6260
105.2000,6.0479,34.6240
106.2000,5.9929,34.6253
107.2000,5.9690,34.6229
108.2000,5.9513,34.6242
109.2000,5.9601,34.6249
110.2000,5.9046,34.6288
111.2000,5.8400,34.6343
112.2000,5.7644,34.6324
113.2000,5.7033,34.6373
114.2000,5.7195,34.6402
115.2000,5.6708,34.6418
116.2000,5.6802,34.6396
117.2000,5.6336,34.6458
118.2000,5.5820,34.6434
119.2000,5.5665,34.6410
120.2000,5.5339,34.6476
121.2000,5.4631,34.6477
122.2000,5.4197,34.6488
123.2000,5.3527,34.6536
124.2000,5.3063,34.6512
125.2000,5.2958,34.6558
126.2000,5.2832,34.6521
127.2000,5.2747,34.6549
128.2000,5.1850,34.6535
129.2000,5.1576,34.6592
130.2000,5.1454,34.6567
131.2000,5.1146,34.6547
132.2000,5.0921,34.6535
133.2000,5.0303,34.6570
134.2000,4.9796,34.6586
135.2000,5.0040,34.6585
136.2000,5.0206,34.6594
137.2000,5.0074,34.6617
138.2000,5.0234,34.6595
139.2000,5.0207,34.6614
140.2000,4.9768,34.6620
141.2000,4.9393,34.6583
142.2000,4.9490,34.6550
143.2000,4.8750,34.6587
144.2000,4.8030,34.6547
145.2000,4.7603,34.6549
146.2000,4.7371,34.6521
147.2000,4.7349,34.6576
148.2000,4.6940,34.6552
149.2000,4.7303,34.6596
150.2000,4.7398,34.6605
151.2000,4.6746,34.6624
152.2000,4.6266,34.6632
153.2000,4.5789,34.6659
154.2000,4.5046,34.6675
155.2000,4.4862,34.6640
156.2000,4.5274,34.6653
157.2000,4.4829,34.6629
158.2000,4.4696,34.6637
159.2000,4.4199,34.6626
160.2000,4.4348,34.6613
161.2000,4.3928,34.6613
162.2000,4.3313,34.6630
163.2000,4.3534,34.6631
164.2000,4.3720,34.6626
165.2000,4.3645,34.6643
166.2000,4.3699,34.6636
167.2000,4.3514,34.6678
168.2000,4.2807,34.6683
169.2000,4.2506,34.6701
170.2000,4.2156,34.6683
171.2000,4.2116,34.6685
172.2000,4.2051,34.6668
173.2000,4.2300,34.6644
174.2000,4.1939,34.6660
175.2000,4.1618,34.6637
176.2000,4.1417,34.6656
177.2000,4.1614,34.6655
178.2000,4.1184,34.6664
179.2000,4.0895,34.6677
180.2000,4.0267,34.6707
181.2000,4.0063,34.6734
182.2000,4.0069,34.6774
183.2000,3.9650,34.6775
184.2000,3.9039,34.6806
185.2000,3.8255,34.6842
186.2000,3.8438,34.6837
187.2000,3.8452,34.6886
188.2000,3.8127,34.6890
189.2000,3.8312,34.6858
190.2000,3.8199,34.6864
191.2000,3.7764,34.6916
192.2000,3.7027,34.6890
193.2000,3.6602,34.6923
194.2000,3.6699,34.6947
195.2000,3.6446,34.6905
196.2000,3.6283,34.6906
197.2000,3.6423,34.6903
198.2000,3.6381,34.6878
199.2000,3.5667,34.6919
200.2000,3.5642,34.6910
201.2000,3.5706,34.6888
202.2000,3.5751,34.6921
203.2000,3.5853,34.6907
204.2000,3.5948,34.6936
205.2000,3.6078,34.6926
206.2000,3.5483,34.6920
207.2000,3.5296,34.6961
208.2000,3.4982,34.6949
209.2000,3.4629,34.6946
210.2000,3.4489,34.6957
211.2000,3.4836,34.6987
212.2000,3.4782,34.6962
213.2000,3.4343,34.6958
214.2000,3.4223,34.6926
215.2000,3.4104,34.6957
216.2000,3.3824,34.6986
217.2000,3.3961,34.7029
218.2000,3.3792,34.7048
219.2000,3.4040,34.7066
220.2000,3.3378,34.7061
221.2000,3.3076,34.7096
222.2000,3.2541,34.7114
223.2000,3.2703,34.7090
224.2000,3.2254,34.7079
225.2000,3.1997,34.7044
226.2000,3.2041,34.7040
227.2000,3.1831,34.7012
228.2000,3.2231,34.7010
229.2000,3.2065,34.7028
230.2000,3.1722,34.7016
231.2000,3.1875,34.7017
232.2000,3.1706,34.6998
233.2000,3.1501,34.7022
234.2000,3.1478,34.7049
235.2000,3.1437,34.7054
236.2000,3.1331,34.7034
237.2000,3.1032,34.7030
238.2000,3.0790,34.7022
239.2000,3.0977,34.7006
240.2000,3.1070,34.7012
241.2000,3.1076,34.7012
242.2000,3.1368,34.6979
243.2000,3.1027,34.6976
244.2000,3.1062,34.6990
245.2000,3.0802,34.7012
246.2000,3.0335,34.7021
