{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-85.00971221923828
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.50003719329834
start time: 2023-11-01T00:00:00.000000000
end time: 2023-11-01T01:46:20.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,26.3737,35.4342
1.2000,26.2029,35.4190
2.2000,25.4324,35.3535
3.2000,24.1156,35.2915
4.2000,23.0194,35.2763
5.2000,21.6919,35.2330
6.2000,20.6023,35.2178
7.2000,20.0895,35.2386
8.2000,19.6595,35.2521
9.2000,19.1325,35.2392
10.2000,19.0585,35.2390
11.2000,18.9337,35.2453
12.2000,18.5975,35.2267
13.2000,18.3734,35.1903
14.2000,17.9207,35.1367
15.2000,17.5427,35.0870
16.2000,17.1583,35.0612
17.2000,16.8466,35.0442
18.2000,16.6060,35.0379
19.2000,16.4423,35.0291
20.2000,16.3703,35.0183
21.2000,16.3864,35.0129
22.2000,16.2613,35.0052
23.2000,15.9694,34.9889
24.2000,15.6676,34.9705
25.2000,15.4142,34.9566
26.2000,15.1668,34.9275
27.2000,14.9534,34.9053
28.2000,14.7720,34.8927
29.2000,14.5236,34.8775
30.2000,14.3635,34.8575
31.2000,14.1407,34.8403
32.2000,13.8288,34.8288
33.2000,13.5538,34.8139
34.2000,13.2391,34.7949
35.2000,13.0714,34.7873
36.2000,12.8915,34.7751
37.2000,12.7257,34.7648
38.2000,12.4514,34.7607
39.2000,12.2865,34.7633
40.2000,12.1204,34.7645
41.2000,11.9660,34.7697
42.2000,11.7954,34.7637
43.2000,11.6587,34.7685
44.2000,11.4534,34.7647
45.2000,11.2123,34.7578
46.2000,11.0409,34.7525
47.2000,10.9865,34.7483
48.2000,10.7863,34.7445
49.2000,10.7343,34.7432
50.2000,10.6250,34.7423
51.2000,10.4555,34.7314
52.2000,10.3068,34.7320
53.2000,10.1922,34.7216
54.2000,10.0407,34.7121
55.2000,9.9599,34.7037
56.2000,9.7800,34.6958
57.2000,9.6035,34.6987
58.2000,9.5702,34.6916
59.2000,9.4136,34.6873
60.2000,9.3385,34.6895
61.2000,9.2677,34.6852
62.2000,9.1709,34.6788
63.2000,9.1572,34.6754
64.2000,9.0931,34.6727
65.2000,9.0407,34.6728
66.2000,8.8522,34.6740
67.2000,8.8145,34.6704
68.2000,8.7943,34.6734
69.2000,8.7591,34.6776
70.2000,8.7285,34.6775
71.2000,8.6681,34.6784
72.2000,8.5928,34.6754
73.2000,8.5296,34.6722
74.2000,8.3774,34.6714
75.2000,8.2791,34.6696
76.2000,8.2552,34.6702
77.2000,8.1323,34.6648
78.2000,8.0576,34.6651
79.2000,8.0737,34.6636
80.2000,7.8880,34.6608
81.2000,7.7488,34.6614
82.2000,7.6733,34.6681
83.2000,7.5338,34.6720
84.2000,7.4333,34.6727
85.2000,7.4111,34.6739
86.2000,7.2660,34.6759
87.2000,7.1367,34.6788
88.2000,7.1261,34.6835
89.2000,7.0509,34.6913
90.2000,6.9472,34.6909
91.2000,6.8963,34.6878
92.2000,6.7791,34.6883
93.2000,6.7073,34.6821
94.2000,6.6182,34.6808
95.2000,6.5755,34.6803
96.2000,6.5650,34.6841
97.2000,6.5864,34.6766
98.2000,6.5123,34.6742
99.2000,6.4341,34.6706
100.2000,6.4307,34.6735
101.2000,6.3780,34.6711
102.2000,6.3163,34.6657
103.2000,6.2489,34.6641
104.2000,6.2062,34.6608
105.2000,6.1873,34.6600
106.2000,6.1885,34.6601
107.2000,6.1578,34.6596
108.2000,6.0991,34.6644
109.2000,6.0120,34.6652
110.2000,5.8666,34.6683
111.2000,5.8368,34.6630
112.2000,5.7751,34.6688
113.2000,5.7762,34.6674
114.2000,5.6679,34.6695
115.2000,5.6286,34.6688
116.2000,5.5810,34.6687
117.2000,5.4926,34.6680
118.2000,5.4376,34.6633
119.2000,5.3717,34.6613
120.2000,5.2754,34.6654
121.2000,5.2730,34.6664
122.2000,5.1325,34.6663
123.2000,5.0863,34.6630
124.2000,5.0526,34.6629
125.2000,5.0401,34.6566
126.2000,4.9840,34.6607
127.2000,4.9481,34.6541
128.2000,4.8971,34.6565
129.2000,4.8385,34.6571
130.2000,4.8393,34.6513
131.2000,4.8002,34.6503
132.2000,4.8015,34.6527
133.2000,4.7895,34.6545
134.2000,4.7096,34.6543
135.2000,4.6750,34.6544
136.2000,4.7118,34.6515
137.2000,4.6237,34.6544
138.2000,4.5301,34.6538
139.2000,4.4857,34.6494
140.2000,4.4570,34.6498
141.2000,4.4854,34.6520
142.2000,4.5013,34.6579
143.2000,4.5005,34.6521
144.2000,4.4571,34.6495
145.2000,4.4327,34.6543
146.2000,4.3789,34.6569
147.2000,4.2915,34.6579
148.2000,4.3493,34.6561
149.2000,4.3549,34.6546
150.2000,4.3304,34.6501
151.2000,4.3310,34.6529
152.2000,4.2575,34.6528
153.2000,4.2427,34.6561
154.2000,4.2496,34.6569
155.2000,4.2223,34.6620
156.2000,4.1746,34.6600
157.2000,4.1857,34.6611
158.2000,4.1308,34.6647
159.2000,4.1352,34.6676
160.2000,4.1505,34.6673
161.2000,4.0871,34.6696
162.2000,4.0278,34.6682
163.2000,3.9956,34.6720
164.2000,3.9298,34.6741
165.2000,3.9213,34.6732
166.2000,3.9095,34.6769
167.2000,3.8534,34.6751
168.2000,3.8302,34.6726
169.2000,3.8226,34.6770
170.2000,3.7889,34.6741
171.2000,3.7192,34.6745
172.2000,3.6449,34.6747
173.2000,3.5721,34.6762
174.2000,3.4905,34.6773
175.2000,3.4917,34.6779
