{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-104.99028778076172
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.50003719329834
start time: 2023-11-08T07:10:40.000000000
end time: 2023-11-08T09:23:00.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,28.4517,34.8827
1.2000,28.4887,34.8867
2.2000,28.4690,34.8924
3.2000,28.3144,34.9612
4.2000,27.9547,35.0924
5.2000,27.1119,35.2656
6.2000,25.5141,35.3746
7.2000,23.8784,35.3653
8.2000,21.8406,35.3192
9.2000,18.9594,35.2950
10.2000,18.4249,35.2493
11.2000,17.9514,35.1979
12.2000,17.3351,35.1511
13.2000,16.7670,35.1043
14.2000,16.6956,35.0967
15.2000,16.5302,35.0843
16.2000,16.3161,35.0721
17.2000,16.1783,35.0528
18.2000,15.9432,35.0338
19.2000,15.7608,35.0247
20.2000,15.6099,35.0181
21.2000,15.5368,35.0155
22.2000,15.4439,35.0069
23.2000,15.3133,35.0059
24.2000,15.2337,35.0023
25.2000,15.0890,34.9921
26.2000,14.9592,34.9847
27.2000,14.7436,34.9819
28.2000,14.5784,34.9611
29.2000,14.3424,34.9488
30.2000,14.0996,34.9349
31.2000,13.9337,34.9208
32.2000,13.7415,34.9058
33.2000,13.5989,34.8897
34.2000,13.4172,34.8832
35.2000,13.1540,34.8644
36.2000,12.9454,34.8511
37.2000,12.7685,34.8405
38.2000,12.5368,34.8202
39.2000,12.3244,34.8050
40.2000,12.0878,34.7999
41.2000,11.9392,34.7901
42.2000,11.7740,34.7803
43.2000,11.6142,34.7628
44.2000,11.4338,34.7572
45.2000,11.3324,34.7518
46.2000,11.1840,34.7378
47.2000,10.9522,34.7269
48.2000,10.6540,34.7124
49.2000,10.4882,34.7061
50.2000,10.3449,34.6925
51.2000,10.1042,34.6859
52.2000,9.8774,34.6749
53.2000,9.6624,34.6587
54.2000,9.5181,34.6533
55.2000,9.4330,34.6503
56.2000,9.2919,34.6479
57.2000,9.2295,34.6509
58.2000,9.1111,34.6521
59.2000,9.0456,34.6423
60.2000,8.9152,34.6402
61.2000,8.7980,34.6327
62.2000,8.6770,34.6300
63.2000,8.5188,34.6281
64.2000,8.4597,34.6264
65.2000,8.3653,34.6299
66.2000,8.3769,34.6316
67.2000,8.2794,34.6288
68.2000,8.2067,34.6250
69.2000,8.2261,34.6271
70.2000,8.1032,34.6265
71.2000,8.0938,34.6270
72.2000,8.0225,34.6293
73.2000,8.0173,34.6278
74.2000,8.0328,34.6261
75.2000,7.9318,34.6261
76.2000,7.9313,34.6275
77.2000,7.8647,34.6243
78.2000,7.7789,34.6283
79.2000,7.7525,34.6306
80.2000,7.7053,34.6325
81.2000,7.6787,34.6330
82.2000,7.6209,34.6334
83.2000,7.5491,34.6293
84.2000,7.4442,34.6241
85.2000,7.4056,34.6269
86.2000,7.2680,34.6270
87.2000,7.2655,34.6284
88.2000,7.1679,34.6307
89.2000,7.0404,34.6316
90.2000,6.9957,34.6354
91.2000,6.9180,34.6344
92.2000,6.8509,34.6349
93.2000,6.8001,34.6342
94.2000,6.7907,34.6323
95.2000,6.7815,34.6338
96.2000,6.7695,34.6378
97.2000,6.7012,34.6385
98.2000,6.6653,34.6318
99.2000,6.5918,34.6326
100.2000,6.5420,34.6376
101.2000,6.5000,34.6340
102.2000,6.4806,34.6328
103.2000,6.3629,34.6310
104.2000,6.3018,34.6296
105.2000,6.1993,34.6286
106.2000,6.1984,34.6255
107.2000,6.2076,34.6255
108.2000,6.1024,34.6232
109.2000,6.1012,34.6238
110.2000,6.0468,34.6228
111.2000,6.0297,34.6224
112.2000,5.9327,34.6251
113.2000,5.8543,34.6229
114.2000,5.8831,34.6166
115.2000,5.8160,34.6110
116.2000,5.7857,34.6072
117.2000,5.7605,34.6139
118.2000,5.7190,34.6111
119.2000,5.6466,34.6105
120.2000,5.5845,34.6088
121.2000,5.5358,34.6114
122.2000,5.4857,34.6162
123.2000,5.4270,34.6118
124.2000,5.3629,34.6121
125.2000,5.3698,34.6137
126.2000,5.3452,34.6115
127.2000,5.2919,34.6117
128.2000,5.2965,34.6098
129.2000,5.2853,34.6111
130.2000,5.2958,34.6119
131.2000,5.2469,34.6128
132.2000,5.1723,34.6177
133.2000,5.0685,34.6237
134.2000,4.9955,34.6275
135.2000,4.8712,34.6277
136.2000,4.8354,34.6238
137.2000,4.7844,34.6308
138.2000,4.7462,34.6300
139.2000,4.7007,34.6311
140.2000,4.6482,34.6308
141.2000,4.5609,34.6330
142.2000,4.5887,34.6401
143.2000,4.5771,34.6462
144.2000,4.5433,34.6472
145.2000,4.5169,34.6517
146.2000,4.4519,34.6550
147.2000,4.4943,34.6567
148.2000,4.4600,34.6590
149.2000,4.4218,34.6632
150.2000,4.3864,34.6617
151.2000,4.3725,34.6582
152.2000,4.3609,34.6567
153.2000,4.3063,34.6565
154.2000,4.2373,34.6593
155.2000,4.1785,34.6598
156.2000,4.1519,34.6561
157.2000,4.1252,34.6585
158.2000,4.1166,34.6621
159.2000,4.1008,34.6642
160.2000,4.0998,34.6651
161.2000,4.0977,34.6645
162.2000,4.0859,34.6627
163.2000,4.0182,34.6656
164.2000,3.9561,34.6666
165.2000,3.8712,34.6652
166.2000,3.8451,34.6654
167.2000,3.7814,34.6672
168.2000,3.7016,34.6636
169.2000,3.6413,34.6658
170.2000,3.5783,34.6687
171.2000,3.5639,34.6664
172.2000,3.5958,34.6685
173.2000,3.5904,34.6712
174.2000,3.6240,34.6758
175.2000,3.6623,34.6755
176.2000,3.6316,34.6768
177.2000,3.5917,34.6771
178.2000,3.6146,34.6783
179.2000,3.5644,34.6747
180.2000,3.5625,34.6718
181.2000,3.5222,34.6700
182.2000,3.4887,34.6694
183.2000,3.4612,34.6666
184.2000,3.3868,34.6666
185.2000,3.3644,34.6696
186.2000,3.2870,34.6712
187.2000,3.2901,34.6716
188.2000,3.3160,34.6713
189.2000,3.2960,34.6709
190.2000,3.3318,34.6741
191.2000,3.3148,34.6745
192.2000,3.2924,34.6718
193.2000,3.3128,34.6714
194.2000,3.3504,34.6716
195.2000,3.3665,34.6701
196.2000,3.3095,34.6735
197.2000,3.2842,34.6703
198.2000,3.2427,34.6725
199.2000,3.2212,34.6728
200.2000,3.1983,34.6772
201.2000,3.1781,34.6794
202.2000,3.2114,34.6807
203.2000,3.1955,34.6815
204.2000,3.2299,34.6789
205.2000,3.1945,34.6804
206.2000,3.1968,34.6852
207.2000,3.2133,34.6865
208.2000,3.1859,34.6853
209.2000,3.2099,34.6835
210.2000,3.2247,34.6832
211.2000,3.1870,34.6840
212.2000,3.1646,34.6837
213.2000,3.1409,34.6888
214.2000,3.1182,34.6875
215.2000,3.0603,34.6846
216.2000,3.0728,34.6883
217.2000,3.0332,34.6886
218.2000,3.0187,34.6919
219.2000,3.0017,34.6917
220.2000,2.9864,34.6939
221.2000,2.9847,34.6931
222.2000,2.9838,34.6940
223.2000,3.0138,34.6943
224.2000,3.0163,34.6923
225.2000,3.0053,34.6888
226.2000,3.0019,34.6918
227.2000,2.9598,34.6951
228.2000,2.9223,34.6985
229.2000,2.8803,34.6979
230.2000,2.8582,34.6977
231.2000,2.8244,34.6974
232.2000,2.8212,34.6942
233.2000,2.8085,34.6973
234.2000,2.7744,34.6990
235.2000,2.7921,34.6979
236.2000,2.7932,34.6993
237.2000,2.7945,34.7002
238.2000,2.7999,34.6983
239.2000,2.7872,34.6974
240.2000,2.7668,34.7001
241.2000,2.7493,34.7007
242.2000,2.7676,34.7006
243.2000,2.7281,34.7014
244.2000,2.7156,34.7013
245.2000,2.7097,34.6981
246.2000,2.6843,34.6979
247.2000,2.6946,34.6982
248.2000,2.6649,34.6997
249.2000,2.6191,34.6995
250.2000,2.5842,34.6991
251.2000,2.5772,34.6997
252.2000,2.5557,34.6972
253.2000,2.5241,34.6951
254.2000,2.5244,34.6967
255.2000,2.5139,34.6954
256.2000,2.5055,34.6925
257.2000,2.5138,34.6928
258.2000,2.4946,34.6911
259.2000,2.4728,34.6902
260.2000,2.4479,34.6892
261.2000,2.4291,34.6903
262.2000,2.3938,34.6899
263.2000,2.3599,34.6919
264.2000,2.3764,34.6928
265.2000,2.3491,34.6928
266.2000,2.3659,34.6924
267.2000,2.3644,34.6911
268.2000,2.3647,34.6922
269.2000,2.3842,34.6931
270.2000,2.4021,34.6941
271.2000,2.3884,34.6946
272.2000,2.3702,34.6974
273.2000,2.3707,34.6974
274.2000,2.3525,34.6969
275.2000,2.3481,34.6979
276.2000,2.3346,34.6974
277.2000,2.3159,34.6975
278.2000,2.3225,34.6965
279.2000,2.3088,34.6960
280.2000,2.3008,34.6948
281.2000,2.2592,34.6935
282.2000,2.2321,34.6929
283.2000,2.2434,34.6942
284.2000,2.2376,34.6928
285.2000,2.2338,34.6906
286.2000,2.2102,34.6922
287.2000,2.1976,34.6939
288.2000,2.1966,34.6930
289.2000,2.2132,34.6919
290.2000,2.1956,34.6918
291.2000,2.1824,34.6896
292.2000,2.1874,34.6876
293.2000,2.1874,34.6889
294.2000,2.1615,34.6891
295.2000,2.1645,34.6907
296.2000,2.1417,34.6923
297.2000,2.1355,34.6924
298.2000,2.1243,34.6928
299.2000,2.1175,34.6937
300.2000,2.1143,34.6954
301.2000,2.1167,34.6949
302.2000,2.1189,34.6946
303.2000,2.0948,34.6937
304.2000,2.0888,34.6949
305.2000,2.0714,34.6943
306.2000,2.0524,34.6935
307.2000,2.0339,34.6928
308.2000,2.0243,34.6928
309.2000,1.9973,34.6941
310.2000,1.9694,34.6948
311.2000,1.9436,34.6945
312.2000,1.9349,34.6941
313.2000,1.9306,34.6940
314.2000,1.9229,34.6935
315.2000,1.9141,34.6923
316.2000,1.8909,34.6927
317.2000,1.8769,34.6934
318.2000,1.8732,34.6942
319.2000,1.8554,34.6936
320.2000,1.8557,34.6947
