{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.99028778076172
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.50003719329834
start time: 2023-11-15T15:19:20.000000000
end time: 2023-11-15T17:59:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
0.2000,28.8748,35.2800
1.2000,28.8671,35.2825
2.2000,28.9291,35.2806
3.2000,28.8687,35.2824
4.2000,28.8803,35.2824
5.2000,28.9088,35.2801
6.2000,28.8478,35.2794
7.2000,28.8915,35.3894
8.2000,28.2533,35.4737
9.2000,26.4245,35.4329
10.2000,24.1590,35.4635
11.2000,21.7227,35.4584
12.2000,19.0017,35.3053
13.2000,16.6062,35.1684
14.2000,16.2477,35.1399
15.2000,15.9652,35.1131
16.2000,15.6833,35.0919
17.2000,15.4714,35.0668
18.2000,15.3069,35.0478
19.2000,15.1987,35.0394
20.2000,15.1840,35.0429
21.2000,15.1324,35.0471
22.2000,15.1350,35.0520
23.2000,15.1319,35.0600
24.2000,15.2305,35.0707
25.2000,15.2800,35.0799
26.2000,15.2734,35.0878
27.2000,15.1432,35.0699
28.2000,14.8792,35.0300
29.2000,14.6147,34.9937
30.2000,14.3311,34.9512
31.2000,14.0729,34.9127
32.2000,13.7278,34.8802
33.2000,13.4295,34.8519
34.2000,13.1274,34.8334
35.2000,12.7838,34.8051
36.2000,12.4680,34.7841
37.2000,12.0978,34.7642
38.2000,11.7448,34.7458
39.2000,11.6381,34.7483
40.2000,11.4991,34.7477
41.2000,11.3993,34.7539
42.2000,11.2589,34.7522
43.2000,11.0729,34.7540
44.2000,10.9105,34.7538
45.2000,10.7833,34.7587
46.2000,10.6102,34.7534
47.2000,10.4833,34.7432
48.2000,10.3135,34.7321
49.2000,10.1733,34.7220
50.2000,9.9965,34.7173
51.2000,9.8368,34.7091
52.2000,9.6922,34.6989
53.2000,9.4896,34.6888
54.2000,9.3628,34.6812
55.2000,9.2789,34.6772
56.2000,9.2075,34.6715
57.2000,9.1612,34.6737
58.2000,9.1219,34.6707
59.2000,9.0876,34.6659
60.2000,8.9525,34.6606
61.2000,8.8974,34.6577
62.2000,8.9029,34.6556
63.2000,8.8771,34.6563
64.2000,8.8346,34.6561
65.2000,8.7680,34.6518
66.2000,8.6608,34.6455
67.2000,8.5796,34.6393
68.2000,8.4574,34.6393
69.2000,8.4322,34.6300
70.2000,8.3701,34.6277
71.2000,8.3095,34.6238
72.2000,8.1424,34.6233
73.2000,8.0477,34.6219
74.2000,7.9556,34.6111
75.2000,7.8674,34.6031
76.2000,7.7513,34.6018
77.2000,7.6842,34.6022
78.2000,7.5951,34.6059
79.2000,7.5195,34.6109
80.2000,7.4642,34.6127
81.2000,7.3768,34.6160
82.2000,7.2859,34.6152
83.2000,7.1929,34.6173
84.2000,7.1496,34.6206
85.2000,7.0552,34.6217
86.2000,6.9878,34.6190
87.2000,6.8940,34.6184
88.2000,6.8104,34.6167
89.2000,6.7476,34.6125
90.2000,6.6350,34.6180
91.2000,6.6099,34.6210
92.2000,6.5472,34.6181
93.2000,6.5077,34.6221
94.2000,6.4064,34.6212
95.2000,6.3305,34.6202
96.2000,6.3136,34.6181
97.2000,6.2985,34.6148
98.2000,6.2652,34.6188
99.2000,6.2490,34.6186
100.2000,6.2220,34.6164
101.2000,6.1829,34.6173
102.2000,6.1464,34.6201
103.2000,6.1326,34.6191
104.2000,6.0717,34.6219
105.2000,6.0061,34.6189
106.2000,5.9390,34.6226
107.2000,5.8748,34.6256
108.2000,5.8465,34.6295
109.2000,5.8542,34.6303
110.2000,5.7450,34.6336
111.2000,5.6518,34.6335
112.2000,5.6129,34.6358
113.2000,5.5362,34.6390
114.2000,5.4553,34.6373
115.2000,5.4065,34.6386
116.2000,5.4071,34.6433
117.2000,5.3770,34.6442
118.2000,5.3084,34.6439
119.2000,5.2694,34.6454
120.2000,5.2549,34.6503
121.2000,5.1973,34.6522
122.2000,5.1338,34.6501
123.2000,5.0769,34.6547
124.2000,5.0973,34.6541
125.2000,5.0225,34.6526
126.2000,5.0346,34.6528
127.2000,5.0172,34.6536
128.2000,5.0180,34.6549
129.2000,4.9622,34.6548
130.2000,4.9664,34.6520
131.2000,4.9604,34.6540
132.2000,4.9341,34.6505
133.2000,4.8721,34.6531
134.2000,4.8882,34.6562
135.2000,4.8770,34.6568
136.2000,4.7858,34.6596
137.2000,4.7344,34.6583
138.2000,4.7137,34.6586
139.2000,4.6724,34.6607
140.2000,4.6883,34.6601
141.2000,4.6386,34.6606
142.2000,4.6648,34.6593
143.2000,4.6481,34.6586
144.2000,4.6042,34.6590
145.2000,4.5232,34.6624
146.2000,4.4984,34.6690
147.2000,4.4405,34.6658
148.2000,4.4485,34.6695
149.2000,4.4515,34.6748
150.2000,4.4610,34.6752
151.2000,4.4152,34.6783
152.2000,4.4011,34.6793
153.2000,4.3528,34.6828
154.2000,4.3453,34.6853
155.2000,4.3511,34.6877
156.2000,4.3581,34.6912
157.2000,4.3196,34.6924
158.2000,4.3393,34.6921
159.2000,4.3308,34.6972
160.2000,4.3577,34.6955
161.2000,4.3689,34.6966
162.2000,4.3685,34.6979
163.2000,4.3453,34.6962
164.2000,4.3031,34.6995
165.2000,4.2398,34.6977
166.2000,4.2253,34.7034
167.2000,4.1430,34.7077
168.2000,4.1450,34.7050
169.2000,4.1671,34.7020
170.2000,4.1788,34.6979
171.2000,4.1585,34.7010
172.2000,4.1226,34.7012
173.2000,4.1060,34.6983
174.2000,4.0691,34.6985
175.2000,4.0020,34.6955
176.2000,3.9270,34.6948
177.2000,3.9340,34.6927
178.2000,3.9065,34.6955
179.2000,3.8475,34.6957
180.2000,3.8299,34.6975
181.2000,3.8258,34.6963
182.2000,3.7584,34.6959
183.2000,3.7477,34.6959
184.2000,3.7800,34.6974
185.2000,3.7240,34.6983
186.2000,3.6716,34.7024
187.2000,3.6462,34.7060
188.2000,3.5993,34.7033
189.2000,3.6266,34.7041
190.2000,3.5547,34.7040
191.2000,3.5644,34.7033
192.2000,3.5853,34.7075
193.2000,3.6280,34.7101
194.2000,3.5843,34.7106
195.2000,3.5967,34.7100
196.2000,3.5738,34.7116
197.2000,3.5326,34.7152
198.2000,3.5305,34.7132
199.2000,3.5269,34.7133
200.2000,3.5192,34.7119
201.2000,3.4917,34.7156
202.2000,3.5158,34.7148
203.2000,3.4877,34.7155
204.2000,3.4683,34.7166
205.2000,3.4482,34.7176
206.2000,3.4216,34.7171
207.2000,3.4267,34.7154
208.2000,3.3687,34.7178
209.2000,3.3407,34.7183
210.2000,3.3304,34.7191
211.2000,3.3364,34.7198
212.2000,3.3212,34.7198
213.2000,3.3016,34.7224
214.2000,3.2851,34.7209
215.2000,3.2860,34.7232
216.2000,3.2464,34.7212
217.2000,3.2052,34.7223
218.2000,3.1647,34.7264
219.2000,3.1485,34.7248
220.2000,3.1092,34.7256
221.2000,3.1126,34.7260
222.2000,3.0968,34.7289
223.2000,3.0935,34.7314
224.2000,3.1261,34.7337
225.2000,3.0767,34.7326
226.2000,3.0680,34.7329
227.2000,3.0871,34.7317
228.2000,3.0716,34.7294
229.2000,3.0710,34.7283
230.2000,3.0545,34.7307
231.2000,3.0015,34.7316
232.2000,2.9665,34.7323
233.2000,2.9561,34.7327
234.2000,2.9547,34.7294
235.2000,2.9543,34.7261
236.2000,2.9664,34.7277
237.2000,2.9616,34.7255
238.2000,2.9912,34.7247
239.2000,2.9741,34.7222
240.2000,2.9591,34.7230
241.2000,2.9124,34.7221
242.2000,2.8870,34.7199
243.2000,2.8667,34.7215
244.2000,2.8331,34.7191
245.2000,2.8327,34.7157
246.2000,2.7892,34.7134
247.2000,2.7770,34.7104
248.2000,2.7872,34.7103
249.2000,2.8199,34.7109
250.2000,2.8082,34.7106
251.2000,2.8307,34.7101
252.2000,2.8174,34.7108
253.2000,2.8244,34.7088
254.2000,2.8163,34.7068
255.2000,2.8068,34.7058
256.2000,2.8282,34.7040
257.2000,2.7858,34.7057
258.2000,2.7576,34.7074
259.2000,2.7761,34.7095
260.2000,2.8054,34.7080
261.2000,2.8061,34.7109
262.2000,2.7927,34.7120
263.2000,2.8070,34.7141
264.2000,2.7989,34.7139
265.2000,2.7956,34.7133
266.2000,2.7899,34.7118
267.2000,2.8102,34.7140
268.2000,2.8271,34.7164
269.2000,2.8322,34.7162
270.2000,2.8232,34.7175
271.2000,2.8372,34.7196
272.2000,2.8255,34.7183
273.2000,2.8293,34.7158
274.2000,2.8113,34.7149
275.2000,2.8131,34.7157
276.2000,2.7779,34.7164
277.2000,2.7684,34.7169
278.2000,2.7823,34.7167
279.2000,2.8039,34.7179
280.2000,2.8026,34.7184
281.2000,2.8084,34.7181
282.2000,2.8184,34.7159
283.2000,2.8085,34.7159
284.2000,2.7851,34.7181
285.2000,2.7686,34.7163
286.2000,2.7417,34.7166
287.2000,2.7162,34.7149
288.2000,2.6791,34.7158
289.2000,2.6709,34.7164
290.2000,2.6779,34.7177
291.2000,2.6923,34.7158
292.2000,2.6820,34.7144
293.2000,2.6911,34.7163
294.2000,2.6948,34.7159
295.2000,2.6929,34.7149
296.2000,2.6547,34.7158
297.2000,2.6125,34.7164
298.2000,2.5698,34.7164
299.2000,2.5510,34.7157
300.2000,2.5480,34.7132
301.2000,2.5249,34.7146
302.2000,2.5082,34.7157
303.2000,2.4858,34.7142
304.2000,2.4511,34.7125
305.2000,2.4563,34.7124
306.2000,2.4538,34.7130
307.2000,2.4279,34.7109
308.2000,2.3858,34.7099
309.2000,2.3675,34.7103
310.2000,2.3453,34.7089
311.2000,2.3077,34.7086
312.2000,2.3101,34.7086
313.2000,2.3047,34.7076
314.2000,2.3230,34.7069
315.2000,2.2982,34.7074
316.2000,2.2552,34.7069
317.2000,2.2412,34.7073
318.2000,2.2344,34.7086
319.2000,2.2020,34.7097
320.2000,2.1860,34.7101
321.2000,2.1677,34.7107
322.2000,2.1595,34.7110
323.2000,2.1421,34.7095
324.2000,2.1346,34.7119
325.2000,2.1203,34.7109
326.2000,2.1030,34.7113
327.2000,2.0818,34.7133
328.2000,2.0659,34.7154
329.2000,2.0651,34.7146
330.2000,2.0437,34.7162
331.2000,2.0266,34.7177
332.2000,1.9990,34.7178
333.2000,1.9691,34.7173
334.2000,1.9612,34.7172
335.2000,1.9795,34.7178
336.2000,1.9877,34.7162
337.2000,1.9849,34.7155
338.2000,1.9838,34.7155
339.2000,1.9566,34.7159
340.2000,1.9694,34.7150
341.2000,1.9521,34.7141
342.2000,1.9293,34.7137
343.2000,1.9217,34.7130
344.2000,1.9154,34.7118
345.2000,1.9119,34.7109
346.2000,1.9231,34.7098
347.2000,1.9152,34.7105
348.2000,1.8898,34.7095
349.2000,1.8785,34.7101
350.2000,1.8709,34.7098
351.2000,1.8627,34.7078
352.2000,1.8626,34.7068
353.2000,1.8528,34.7076
354.2000,1.8505,34.7058
355.2000,1.8368,34.7046
356.2000,1.8361,34.7047
357.2000,1.8327,34.7056
358.2000,1.8462,34.7066
359.2000,1.8381,34.7062
360.2000,1.8247,34.7074
361.2000,1.8226,34.7085
362.2000,1.8091,34.7090
363.2000,1.8105,34.7081
364.2000,1.8157,34.7094
365.2000,1.7929,34.7094
366.2000,1.7858,34.7084
367.2000,1.7900,34.7077
368.2000,1.7649,34.7081
369.2000,1.7629,34.7091
370.2000,1.7504,34.7104
371.2000,1.7377,34.7103
372.2000,1.7332,34.7105
373.2000,1.7394,34.7103
374.2000,1.7300,34.7098
375.2000,1.7147,34.7111
376.2000,1.7093,34.7106
377.2000,1.6995,34.7108
378.2000,1.6914,34.7116
379.2000,1.6848,34.7127
380.2000,1.6836,34.7122
381.2000,1.6896,34.7117
382.2000,1.6846,34.7114
383.2000,1.6575,34.7112
384.2000,1.6508,34.7105
385.2000,1.6451,34.7096
386.2000,1.6349,34.7095
387.2000,1.6268,34.7093
388.2000,1.6153,34.7085
389.2000,1.6006,34.7079
390.2000,1.5912,34.7085
391.2000,1.5923,34.7086
392.2000,1.5914,34.7096
393.2000,1.5784,34.7097
394.2000,1.5590,34.7094
395.2000,1.5411,34.7099
396.2000,1.5382,34.7098
397.2000,1.5260,34.7101
398.2000,1.5162,34.7102
399.2000,1.5043,34.7101
400.2000,1.4945,34.7109
401.2000,1.4891,34.7106
402.2000,1.4818,34.7112
403.2000,1.4711,34.7108
404.2000,1.4730,34.7109
405.2000,1.4715,34.7109
406.2000,1.4569,34.7113
407.2000,1.4645,34.7107
408.2000,1.4578,34.7101
409.2000,1.4572,34.7099
410.2000,1.4419,34.7102
411.2000,1.4321,34.7101
412.2000,1.4217,34.7106
413.2000,1.4228,34.7110
414.2000,1.4125,34.7102
415.2000,1.3971,34.7105
416.2000,1.3988,34.7096
417.2000,1.3932,34.7095
418.2000,1.3882,34.7098
419.2000,1.3785,34.7099
420.2000,1.3674,34.7092
421.2000,1.3586,34.7094
422.2000,1.3560,34.7086
423.2000,1.3553,34.7077
424.2000,1.3433,34.7067
425.2000,1.3282,34.7060
426.2000,1.3171,34.7054
427.2000,1.3160,34.7055
428.2000,1.3078,34.7057
429.2000,1.2914,34.7055
430.2000,1.2820,34.7048
431.2000,1.2817,34.7048
432.2000,1.2694,34.7048
433.2000,1.2538,34.7048
434.2000,1.2412,34.7047
435.2000,1.2381,34.7049
436.2000,1.2223,34.7046
437.2000,1.2105,34.7046
438.2000,1.2111,34.7043
439.2000,1.2025,34.7037
440.2000,1.1893,34.7035
441.2000,1.1881,34.7027
442.2000,1.1844,34.7020
443.2000,1.1785,34.7012
444.2000,1.1764,34.7011
445.2000,1.1751,34.7006
446.2000,1.1775,34.7003
447.2000,1.1755,34.7004
448.2000,1.1689,34.7004
449.2000,1.1649,34.7003
450.2000,1.1639,34.7001
451.2000,1.1634,34.6995
452.2000,1.1529,34.6990
453.2000,1.1435,34.6986
454.2000,1.1380,34.6986
455.2000,1.1278,34.6986
456.2000,1.1275,34.6983
457.2000,1.1187,34.6979
458.2000,1.1165,34.6975
459.2000,1.1117,34.6973
460.2000,1.1097,34.6969
461.2000,1.1043,34.6966
462.2000,1.1027,34.6967
463.2000,1.0980,34.6967
464.2000,1.0902,34.6967
465.2000,1.0876,34.6967
466.2000,1.0825,34.6966
467.2000,1.0801,34.6966
468.2000,1.0791,34.6965
469.2000,1.0751,34.6962
470.2000,1.0722,34.6962
471.2000,1.0684,34.6961
472.2000,1.0637,34.6960
473.2000,1.0618,34.6956
474.2000,1.0597,34.6953
475.2000,1.0566,34.6953
476.2000,1.0586,34.6953
477.2000,1.0587,34.6953
478.2000,1.0596,34.6951
479.2000,1.0601,34.6952
480.2000,1.0604,34.6952
481.2000,1.0648,34.6951
482.2000,1.0676,34.6952
481.2000,1.0681,34.6951
480.2000,1.0694,34.6953
479.2000,1.0719,34.6953
478.2000,1.0738,34.6954
477.2000,1.0733,34.6953
476.2000,1.0781,34.6953
475.2000,1.0803,34.6953
474.2000,1.0835,34.6956
473.2000,1.0864,34.6957
472.2000,1.0892,34.6960
471.2000,1.0910,34.6962
470.2000,1.0915,34.6963
469.2000,1.0984,34.6964
468.2000,1.1018,34.6966
467.2000,1.1048,34.6968
466.2000,1.1105,34.6970
465.2000,1.1169,34.6973
464.2000,1.1226,34.6977
463.2000,1.1274,34.6980
462.2000,1.1345,34.6980
461.2000,1.1432,34.6982
460.2000,1.1433,34.6982
459.2000,1.1506,34.6983
458.2000,1.1579,34.6983
457.2000,1.1644,34.6983
456.2000,1.1664,34.6985
455.2000,1.1754,34.6989
454.2000,1.1836,34.6992
453.2000,1.1859,34.6995
452.2000,1.1919,34.6997
451.2000,1.1931,34.6997
450.2000,1.2023,34.7001
449.2000,1.2119,34.7002
448.2000,1.2228,34.7002
447.2000,1.2292,34.7007
446.2000,1.2325,34.7009
445.2000,1.2431,34.7009
444.2000,1.2526,34.7010
443.2000,1.2567,34.7016
442.2000,1.2551,34.7014
441.2000,1.2575,34.7019
440.2000,1.2589,34.7022
439.2000,1.2714,34.7023
438.2000,1.2753,34.7028
437.2000,1.2836,34.7025
436.2000,1.2820,34.7025
435.2000,1.2856,34.7025
434.2000,1.2914,34.7027
433.2000,1.2886,34.7028
432.2000,1.2927,34.7026
431.2000,1.2960,34.7025
430.2000,1.2977,34.7025
429.2000,1.3040,34.7031
428.2000,1.3058,34.7038
427.2000,1.3185,34.7043
426.2000,1.3215,34.7044
425.2000,1.3256,34.7049
424.2000,1.3216,34.7048
423.2000,1.3348,34.7041
422.2000,1.3470,34.7043
421.2000,1.3564,34.7052
420.2000,1.3576,34.7057
419.2000,1.3693,34.7059
418.2000,1.3688,34.7071
417.2000,1.3679,34.7075
416.2000,1.3691,34.7074
415.2000,1.3669,34.7075
414.2000,1.3772,34.7072
413.2000,1.3882,34.7083
412.2000,1.3893,34.7087
411.2000,1.4027,34.7087
410.2000,1.4166,34.7094
409.2000,1.4133,34.7105
408.2000,1.4197,34.7116
407.2000,1.4268,34.7117
406.2000,1.4198,34.7114
405.2000,1.4269,34.7106
404.2000,1.4321,34.7106
403.2000,1.4511,34.7103
402.2000,1.4454,34.7101
401.2000,1.4453,34.7106
400.2000,1.4539,34.7112
399.2000,1.4493,34.7121
398.2000,1.4617,34.7127
397.2000,1.4680,34.7127
396.2000,1.4806,34.7123
395.2000,1.4997,34.7120
394.2000,1.5114,34.7118
393.2000,1.5333,34.7108
392.2000,1.5448,34.7104
391.2000,1.5553,34.7101
390.2000,1.5585,34.7097
389.2000,1.5736,34.7088
388.2000,1.5863,34.7096
387.2000,1.5892,34.7107
386.2000,1.5961,34.7106
385.2000,1.6119,34.7100
384.2000,1.6349,34.7087
383.2000,1.6387,34.7082
382.2000,1.6388,34.7077
381.2000,1.6528,34.7077
380.2000,1.6502,34.7066
379.2000,1.6408,34.7074
